Temp.Box.F,Temp.Amb.F,Input.1,Input.2,Input.3,Input.4,Input.5,Input.6,Input.7,Input.8,Input.9,Input.10,Input.11,Input.12,Input.13,Input.14,Input.15,Input.16,Input.17,Input.18,Input.19,Input.20,Input.21,Input.22,Input.23,Input.24,Input.25,Input.26,Input.27,Input.28,Input.29,Input.30,Input.31,Input.32,Input.33,Input.34,Input.35,Input.36,Input.37,Input.38,Input.39,Input.40,Input.41,Input.42,Input.43,Input.44,Input.45,Input.46,Input.47,Input.48,Input.49,Input.50,Input.51,Input.52,Input.53,Input.54,Input.55,Input.56,Input.57,Input.58,Overall.Watts,Compressor.Port.Temp,Worn.Scroll.Condition,Good.Condition,HVE.Fail
35,77,42,1,76.24,35.09,478.68,298.53,350.91,360.91,192.76,46.12,135.97,338.93,45.74,341.05,59.39,38.53,1.66,36.41,13.21,29.59,25.59,188,123.8,192.76,17.11,3.37,15.13,10.84,87.86,59.88,88.64,119.95,119.3,86.44,22.82,86.73,12132.05,23420.75,29.76,76.94,193.82,125.97,67.85,99.88,0.14,12.98,18.81,3.41,0.86,7512.54,0.03,272.64,0,0,0,265.44,1674.53,5713.74,8147.89,198.12,1,0,0
39,78,38,100,76.94,39.44,500.25,305.1,354.75,365.08,193.1,47.94,139.26,342.64,47.56,344.33,56.54,39.65,1.64,35.03,14.4,30,26.38,188.44,124.75,193.1,20.07,5.76,17.97,13.81,89.68,61.21,90.52,120.86,120.3,88.4,25.4,88.88,12000.07,24281.72,30.43,77.5,194.08,127.01,67.07,99.95,0.14,15.79,21.67,5.71,0.86,7640.39,2.64,254.34,0,0,0,256.69,1695.71,5785.99,8260.01,198.56,1,0,0
46,78,32,93,77.55,46.07,503.24,294.99,350.06,360.5,188.3,53.01,141.4,334.61,52.59,339.45,56.14,68.28,1.63,32.29,15.31,29.93,26.65,183.8,123.44,188.3,24.66,10.41,22.63,18.37,90.68,62.55,91.44,118.6,119.04,89.57,29.32,90.38,11761.65,24377.04,28.96,78.28,188.34,125.09,63.25,95.97,1.43,20.69,26.32,10.61,0.86,7420.76,2.61,265.4,0,0,0,257.2,1710.4,5836.14,8084.59,194.62,1,0,0
95,79,-16,100,77.99,94.75,862.7,274.09,320.8,335.1,202.42,81.67,151.01,312.57,81.14,307.84,1.66,0.38,2.31,30.28,69.64,21.78,71.83,194.87,116.24,202.42,101.65,76.59,101.29,98.05,87.12,66.01,87.76,113.02,111.54,84.36,99.88,85.06,71236.02,50638.81,21.73,78.55,202.24,114.21,88.03,100,77,101.79,102.21,77.43,0.87,7548.07,0,598.11,100,1057.04,0,0,19131.51,65279.41,9318.23,208.75,1,0,0
94,90,-4,17,77.53,94.09,151.76,42.45,245.89,248.53,137.87,189.48,201.64,222.46,188.58,244.45,33.96,39.29,0.9,0.27,19,21.48,37.68,119.36,95.88,137.87,92.71,87.61,91.75,96.82,105.41,90.86,102.23,97.68,102.79,96.31,115.17,96.27,16635.9,7982.87,19.53,89.67,156.6,100.27,56.33,68.64,77,93.29,93.79,88.88,0.91,1428.56,0.58,152.02,40.68,434.78,0.03,19.65,3877.74,13231.41,2097.03,173.55,1,0,0
95,79,-16,100,78.11,94.74,942.01,322.52,363.89,378.71,211.17,85.6,167.16,353.37,85.06,348.73,1.73,0.88,1.52,28.93,67.01,25.07,69.71,203.7,126.97,211.17,101.67,77.38,101.24,98,97.09,72.12,97.88,121.44,121.15,94.67,100.35,96.13,69831.89,51554.37,25.23,79.09,210.89,125.61,85.28,99.95,77,101.62,102.13,78.13,0.88,8457.71,2.28,446.41,100,1055.16,0,0,18720.76,63877.88,10088.2,217.47,1,0,0
61,78,17,49,75.94,60.75,518.3,0,366.13,372.08,186.23,101.41,118.45,118.14,100.87,363.3,0.72,1.01,1.03,4.46,20.48,74.03,33.64,185.5,127.96,186.23,62.28,57.07,62.07,60.92,123.71,103.72,120.18,85.94,124.01,121.98,73.84,123.92,21129.32,21109.12,73.96,77.79,189.63,130.98,58.65,49.12,56.84,62.88,62.49,57.02,0.48,3741.97,3,128.06,100,1093.4,0,0,4422.74,15091.01,5046.5,184.38,1,0,0
62,77,14,49,75.94,62.07,494.25,0,271.79,278.5,167.2,95.04,110.58,110.36,94.59,269.28,0.82,0.6,2.33,5.5,25.6,65.32,34.74,163.97,103.41,167.2,64.1,56.92,63.84,62.22,110.86,88.91,99.21,79.74,99.9,98.72,71.09,99.54,27320.17,24759.15,65.59,76.56,168.64,103.96,64.67,49.45,56.84,64.67,64.34,57.02,0.47,3148.25,2.64,324.56,100,1091.38,0,0,6269.56,21392.62,4645.55,167.54,1,0,0
38,75,37,49,76.35,38.35,398.57,0,270.81,275.99,161.04,79.7,92.6,92.31,79.3,269.46,0.3,0.62,2.37,5.93,11.11,68.31,27.11,158.2,103.09,161.04,39.33,34.47,38.83,37.93,103.66,88.31,97.53,79.12,99.99,98.76,53.71,99.18,19951.03,18927.95,68.17,75.5,161.92,103.99,57.93,48.96,34.88,40.15,39.75,35.06,0.46,2941.35,2.8,254.96,100,1137.7,0,0,3550.69,12115.44,4402.45,159.02,1,0,0
38,78,40,51,76.35,37.59,426.98,0,358.65,362.74,185.87,79.4,93.51,93.39,79.07,357.79,0.33,0.84,1.58,5.2,10.48,80.35,31.98,184.29,125.77,185.87,38.21,34.59,37.75,37.17,116.22,101.39,116.83,84.22,121.95,120.62,58.41,121.94,16329.37,16338.8,80.31,77.96,188.42,129.21,59.21,52.38,34.88,39.19,38.66,35.06,0.49,3599.05,3.05,114.59,100,1129.08,0,0,2476.85,8451.37,4915.47,182.86,1,0,0
