Date,Hour.Day,Temp.Outside.F,Temp.Wet.Bulb.F,Rel.Humidity,Wind.Direction,Wind.Speed.m.per.s
1/1/1976,1.00,32.17,28.21,85,350,6.2
1/1/1976,2.00,32.17,26.23,79,20,7.2
1/1/1976,3.00,32.17,26.23,79,30,6.2
1/1/1976,4.00,32.17,25.15,75,40,5.2
1/1/1976,5.00,32.17,24.25,72,30,5.2
1/1/1976,6.00,31.09,24.25,75,40,5.2
1/1/1976,7.00,31.09,24.25,75,340,2.1
1/1/1976,8.00,31.09,24.25,75,30,2.1
1/1/1976,9.00,30.19,24.25,78,20,2.6
1/1/1976,10.00,31.09,26.23,82,40,2.6
1/1/1976,11.00,32.17,26.23,79,60,3.1
1/1/1976,12.00,32.17,27.13,82,40,2.6
1/1/1976,13.00,33.25,27.13,79,80,2.6
1/1/1976,14.00,34.15,27.13,76,100,4.6
1/1/1976,15.00,34.15,26.23,73,140,2.6
1/1/1976,16.00,34.15,25.15,70,110,2.6
1/1/1976,17.00,33.25,24.25,70,140,3.1
1/1/1976,18.00,33.25,25.15,72,110,2.1
1/1/1976,19.00,33.25,25.15,72,110,1.5
1/1/1976,20.00,33.25,25.15,72,100,1.5
1/1/1976,21.00,33.25,26.23,75,110,2.1
1/1/1976,22.00,33.25,26.23,75,120,4.6
1/1/1976,23.00,33.25,25.15,72,140,4.6
1/1/1976,24.00,33.25,26.23,75,140,4.1
1/2/1976,1.00,32.17,25.15,75,150,6.7
1/2/1976,2.00,33.25,25.15,72,160,6.2
1/2/1976,3.00,32.17,25.15,75,150,6.2
1/2/1976,4.00,33.25,26.23,75,150,5.2
1/2/1976,5.00,33.25,27.13,79,150,2.6
1/2/1976,6.00,33.25,28.21,82,160,4.6
1/2/1976,7.00,33.25,29.11,85,150,4.6
1/2/1976,8.00,33.25,29.11,85,160,3.6
1/2/1976,9.00,33.25,30.19,89,150,5.2
1/2/1976,10.00,34.15,32.17,92,160,4.1
1/2/1976,11.00,35.23,32.17,89,200,5.2
1/2/1976,12.00,35.23,33.25,92,200,5.2
1/2/1976,13.00,36.13,34.15,92,190,6.2
1/2/1976,14.00,37.21,36.13,96,200,6.2
1/2/1976,15.00,39.19,38.11,96,210,8.2
1/2/1976,16.00,39.19,38.11,96,210,5.2
1/2/1976,17.00,39.19,38.11,96,210,4.1
1/2/1976,18.00,40.09,40.09,100,210,3.6
1/2/1976,19.00,40.09,37.21,89,240,3.6
1/2/1976,20.00,38.11,34.15,86,220,4.1
1/2/1976,21.00,38.11,35.23,89,220,3.1
1/2/1976,22.00,37.21,34.15,89,280,4.1
1/2/1976,23.00,34.15,30.19,85,290,6.2
1/2/1976,24.00,32.17,28.21,85,300,5.2
1/3/1976,1.00,31.09,27.13,85,290,2.6
1/3/1976,2.00,32.17,28.21,85,290,2.6
1/3/1976,3.00,31.09,27.13,85,290,3.1
1/3/1976,4.00,30.19,27.13,89,290,2.1
1/3/1976,5.00,30.19,27.13,89,290,2.6
1/3/1976,6.00,30.19,24.25,78,290,8.8
1/3/1976,7.00,28.21,22.09,78,290,6.2
1/3/1976,8.00,27.13,21.19,78,290,5.2
1/3/1976,9.00,26.23,20.11,78,290,5.2
1/3/1976,10.00,26.23,20.11,78,290,5.2
1/3/1976,11.00,25.15,18.13,75,290,5.2
