House.No,House.Address,Area.Floor.sf,E.Ele.kWh.1,E.Ele.kWh.2,E.Ele.kWh.3,E.Ele.kWh.4,E.Ele.kWh.5,E.Ele.kWh.6,E.Ele.kWh.7,E.Ele.kWh.8,E.Ele.kWh.9,E.Ele.kWh.10,E.Ele.kWh.11,E.Ele.kWh.12,E.Ele.kWh.13,E.Ele.kWh.14,E.Ele.kWh.15,E.Ele.kWh.16,E.Ele.kWh.17,E.Ele.kWh.18,E.Ele.kWh.19,E.Ele.kWh.20,E.Ele.kWh.21,E.Ele.kWh.22,E.Ele.kWh.23,E.Gas.Mcf.1,E.Gas.Mcf.2,E.Gas.Mcf.3,E.Gas.Mcf.4,E.Gas.Mcf.5,E.Gas.Mcf.6,E.Gas.Mcf.7,E.Gas.Mcf.8,E.Gas.Mcf.9,E.Gas.Mcf.10,E.Gas.Mcf.11,E.Gas.Mcf.12,E.Gas.Mcf.13,E.Gas.Mcf.14,E.Gas.Mcf.15,E.Gas.Mcf.16,E.Gas.Mcf.17,E.Gas.Mcf.18,E.Gas.Mcf.19,E.Gas.Mcf.20,E.Gas.Mcf.21,E.Gas.Mcf.22,E.Gas.Mcf.23
1,3 Evanston Ave,1216,744,685,542,506,744,574,577,343,125,141,618,947,579,621,520,448,575,476,497,367,111,76,312,NA,NA,NA,24.8,39.9,25.5,15.6,3,1.1,1,1.3,1.7,6.2,16.9,19.4,30.2,33.9,29.1,13.5,4.6,1,1,1
2,9 Evanston Ave,1252,1556,993,908,925,1030,905,1035,807,489,512,616,558,405,1139,1015,836,1081,1026,1119,1314,1003,1303,1070,NA,NA,NA,25.9,35.7,20.2,10.7,2,0.5,0.5,0.5,1.2,2.9,8.7,15.4,19,22.8,19.4,7.5,2.8,1,0.6,0.4
3,26 Evanston Ave,975,814,686,574,246,536,427,403,230,103,119,149,907,650,650,828,696,1146,973,662,513,363,375,416,NA,NA,NA,22.2,38.2,23.7,14,4.4,1.2,1.1,1.3,2,5.7,12,18.1,20.8,25.4,19.5,10.2,3.7,1.1,1.3,1.1
4,30 Evanston Ave,1040,494,520,406,306,532,477,448,329,140,208,142,508,329,377,475,326,446,340,248,184,100,60,132,NA,NA,NA,22.1,39.1,22.1,13.5,4.5,1.2,1.1,1.2,2.1,6.5,12.8,22.3,27.2,31.3,33.7,22.7,15.6,11.2,0.1,0.6
5,36 Evanston Ave,1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,30.2,16.5,10.1,2.2,0.5,0.7,1.4,2.2,4.5,10,14.7,19.6,21.5,17.7,7.9,3.7,1.1,0.4,0.5
6,39 Evanston Ave,1180,510,520,524,434,652,535,525,352,129,126,290,584,391,448,539,343,595,497,391,235,150,131,186,NA,NA,NA,18.8,31,18.6,13.3,7,1.3,1.3,1.6,2.4,3.5,9.1,16.2,18.9,23.5,20.1,10.6,4.7,1.4,1.2,0.9
7,107 Evanston Ave,1228,NA,614,613,443,755,627,689,628,136,130,149,548,944,1045,875,688,1178,1071,940,1094,630,633,847,NA,NA,NA,28,38.3,23.9,14.2,4.6,1.4,1.4,1.2,1.9,4.2,8.6,15.6,19.8,21.9,18.2,8.9,3.8,0.6,1,0.8
8,111 Evanston Ave,952,NA,718,764,684,837,772,831,767,349,577,1084,1715,1120,997,888,885,866,855,904,895,513,922,218,NA,NA,NA,35.9,52.1,30.3,16.1,2.8,0,0.1,0.1,1.5,5.9,15.4,24.7,30,32.4,27.7,12.5,4.1,0.1,0,0
9,112 Evanston Ave,952,NA,303,393,296,482,369,371,349,111,101,122,765,701,524,450,425,531,552,543,454,92,132,97,NA,NA,NA,29.2,47.1,26.8,18.4,5.8,2.7,1.1,1.2,2.2,6.4,12.6,21.4,30.7,33.5,27.8,13.8,5.3,1.2,1.2,1.1
10,115 Evanston Ave,1192,NA,329,406,392,486,364,424,143,116,88,136,965,708,500,462,353,500,469,355,295,108,101,119,NA,NA,NA,30.7,47.2,28.1,16.4,5.4,1.3,1.3,1.4,2.1,4.8,13.7,23.8,27,32.5,25.8,12.9,4.8,1.3,1.3,1.3
11,116 Evanston Ave,1211,NA,474,554,451,1073,807,738,499,138,136,410,1081,634,515,580,557,637,741,553,435,196,257,606,NA,NA,NA,21.1,33.2,20.4,12.5,2.8,0,0,0.1,1.4,4.2,10.4,16.4,20.2,23.8,19.2,9.5,2.9,0,0,0.1
12,119 Evanston Ave,1200,NA,449,524,381,648,531,502,346,98,215,115,641,523,469,460,374,439,464,350,296,88,186,102,NA,NA,NA,27.7,41.3,26.6,16.9,4.6,0.5,0.3,0.3,1.6,5.9,12.9,22.2,23.8,29.1,23.7,11.7,4.9,0.6,0.7,0.5
13,120 Evanston Ave,1124,NA,346,403,474,550,421,397,311,121,98,118,425,469,481,520,466,489,517,385,312,82,106,94,NA,NA,NA,24.6,37,22.8,12.2,4.7,1.3,1.1,1.2,2.3,6.4,12.7,19.8,24.1,26.3,22.3,11.2,5.3,1.2,1.3,1.1
14,124 Evanston Ave,1144,NA,426,562,353,774,542,464,299,100,95,398,943,337,348,359,318,381,401,274,176,60,84,88,NA,NA,NA,18,30.8,18.6,11.4,4.3,0.7,0.6,1.5,2.7,5.7,12.1,20,20.6,25.9,20.9,11.2,4.4,0.6,0.6,0.6
15,132 Evanston Ave,1911,NA,328,349,241,394,334,307,325,98,106,158,624,460,379,409,465,415,401,377,335,80,100,74,NA,NA,NA,23,33,21.5,13.3,4,0.6,0.5,1,2.1,4.4,11,18.1,22.3,25.5,21.1,10.7,4.1,1.2,0.7,0.7
16,135 Evanston Ave,1211,NA,498,503,322,607,479,426,303,105,103,130,732,384,388,416,403,431,441,364,309,74,108,89,NA,NA,NA,32.9,46,26.5,15.7,3.3,0.5,0.5,0.6,1.7,5.8,15.2,23.7,28.9,33.2,27.5,12.1,4.6,0.5,0.5,0.6
17,136 Evanston Ave,952,NA,536,618,424,1291,1220,807,652,567,562,299,1019,652,671,454,320,329,336,241,235,225,475,245,NA,NA,NA,17.4,29.3,18.6,12.7,3.4,0.6,0.7,0.6,1.5,2.8,6.5,12,14.5,16.6,12.8,6.1,1.9,0.5,0.5,0.7
18,139 Evanston Ave,1389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,24,14.4,8.9,3.2,1.4,0.8,1.2,2.7,4,8.7,14.1,17.6,20,16.3,9.5,3.9,1.2,0.1,0.1
19,143 Evanston Ave,1144,NA,392,435,349,568,405,384,291,172,173,176,458,349,379,378,335,449,479,325,289,84,98,102,NA,NA,NA,20.2,32.9,19.3,12.2,4.4,2,1.2,1.1,2.2,5.2,10.8,16,24.3,27.6,20.9,9.9,4.8,1.1,1.1,0.8
20,228 Stonemill Rd,1115,1427,1407,1128,676,1171,1246,1228,1310,1222,728,429,1920,1180,861,1060,665,1255,1060,1057,1038,892,795,879,NA,NA,NA,11.7,18.25,13.25,7.3,5.3,1.85,0.45,0.6,2.45,2.95,4.95,10.15,10.25,27.7,23.2,13.1,4.5,0.9,1.3,1.2
21,230 Stonemill Rd,1115,1188,988,796,428,911,707,715,642,744,990,741,1914,1257,1268,1055,607,1264,984,1002,917,683,716,1065,NA,NA,NA,11.7,18.25,13.25,7.3,5.3,1.85,0.45,0.6,2.45,2.95,4.95,10.15,0,0,0,0,0,0,0,0
22,231 Stonemill Rd,714,857,675,616,352,780,711,763,731,978,924,608,906,428,362,428,442,620,502,485,565,668,431,834,NA,NA,NA,14.6,23.1,12.4,7.7,2,0.4,0.4,0.6,1.2,3.3,8.2,13.3,15.6,18.8,15.3,8.2,2.8,0.5,0.5,0.3
23,232 Stonemill Rd,1115,1203,845,777,682,1105,1015,914,826,761,994,804,1533,967,841,690,475,754,612,566,748,679,620,1089,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,234 Stonemill Rd,1115,1795,1457,1200,954,1650,1481,1846,1591,1254,863,790,1837,1230,1150,1799,880,1248,1156,1500,1014,859,418,1117,NA,NA,NA,24,40.6,27.6,18.1,5,1,1,1,5.9,6.9,11.4,17,23.6,26.3,22,10.4,6.3,1,1.2,3.7
25,233 Stonemill Rd,1908,1260,830,873,756,632,807,786,449,669,654,882,1606,569,660,273,656,1180,910,1153,571,904,1156,1554,NA,NA,NA,24.4,39.7,21.4,12.8,3.6,1.4,0.7,0.2,1.8,3.3,10.9,19.5,23.4,26,23,10.6,3.3,0.6,0.8,0.9
26,237 Stonemill Rd,918,402,256,259,251,334,260,257,160,156,377,150,982,357,295,345,240,399,361,312,401,430,643,901,NA,NA,NA,20.8,31.9,18.4,11.3,3.5,0.7,0.5,0.8,1,3.5,9,15.6,19.1,23.9,20.6,10.6,3.3,0.7,0.6,0.7
27,238 Stonemill Rd,1004,1461,1095,1083,767,1374,1187,1172,813,659,890,939,2165,1318,1178,1043,789,1356,1200,1031,847,693,667,1199,NA,NA,NA,16.1,25.4,14.7,8.7,1.9,0.5,0.4,0.4,1.7,2.5,7.1,11.7,17.1,19.1,18.5,6.1,1.9,1,0.5,0.8
28,240 Stonemill Rd,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,16.1,21.5,14.7,9.7,4.1,0.9,0.6,1.1,2,2.3,5.6,9.1,12.7,14.4,11.3,6.6,2.5,0.6,0.6,0.6
