House.Number,Address,Area.Floor,Basement.Area,Attic.Area,Window.Area,Wall.Area,Basement.Rvalue,Attic.Rvalue,Windows.Rvalue,Walls.Rvalue,Furnace.eff,AC.SEER,Water.Heater.eff,Refrig.Energy.Year,Refrig.EF,Refrig.Size,Lights.Num.Fluor,Lights.Watts.bulb,Lights.Operating.Hours,Water.Heater.On.Summer,AC.On.Summer,Furnace.Pilot.On.Summer,Refrig.On.Summer,Duct.Open.Area.Basement.in2,Attic.Penetration.in2,Occupancy.Number,Electric.Baseline.Intensity.kW.sf,ElectricTotal.Intensity.kW.sf,Gas.Baseline.kBTU.sf,Gas.Heating.kBTU.sf,Gas.Total.Intensity.kBTU.sf,Heating.Degree.Hours,Cooling.Degree.Hours
1,   407  Lowes   ,1460,0,1460,219,1311,5,37,2,14,95%,14,0.8,345,24,18.9,36,14,4368,0,0,0,1,0,0,5,0,0,4,37,42,174279,135307
2,    411  Lowes    ,1460,0,1460,219,1311,5,37,2,14,95%,14,0.8,345,24,18.9,36,14,4368,0,0,0,1,0,0,5,0,0,4,36,41,127775,135307
3,   415  Lowes    ,1460,0,1460,219,1311,5,37,2,14,95%,14,0.8,345,24,18.9,36,14,4368,0,1,0,1,0,0,5,0,0,2,37,40,144887,135307
4,   417  Lowes    ,1460,0,1460,219,1311,5,37,2,14,95%,14,0.8,345,24,18.9,36,14,4368,0,1,0,1,0,0,5,0,0,6,35,41,122329,135307
5,410  Lowes,1440,648,720,158,1462,5,6,2,14,95%,14,0.8,407,22,20.6,18,14,4368,0,1,0,1,27,0,5,6,6,9,53,62,123282,1001
6,418  Lowes,1228,624,656,131,1429,5,6,2,5,95%,14,0.8,479,19,20.5,14,14,4368,0,1,0,0,27,0,5,6,7,56,21,77,204547,10731
7,412  Lowes,1120,648,560,124,1496,5,6,2,5,90%,0,0.59,430,21,20.43,14,14,4368,1,0,0,1,0,0,6,9,9,41,138,179,112070,11055
8,423  Lowes,2119,960,1056,180,2220,5,13,2,14,78%,0,0.55,479,19,20.5,30,14,4368,0,0,1,1,27,144,6,5,5,11,77,89,166980,688
9,431  Lowes,952,648,644,92,1528,5,10,2,5,95%,16,0.56,461,16,16.5,14,14,4368,0,0,0,1,27,0,4,5,5,65,96,160,64536,2540
10,433 Lowes,952,648,644,109,1511,5,7,2,5,95%,14,0.56,407,22,20.5,20,14,4368,1,0,0,1,0,0,4,13,13,87,59,145,54078,9188
11,434 Lowes,1483,696,835,169,1571,5,17,2,4,95%,14,0.59,509,18,20.5,18,14,4368,1,1,0,1,0,0,6,6,6,36,78,114,117622,5685
12,438  Lowes,1320,636,681,117,1473,5,18,2,13,80%,11.3,0.56,461,16,16.5,20,14,4368,0,1,0,1,0,0,5,7,7,22,78,101,108192,6569
13,440  Lowes ,1440,672,792,170,1510,5,18,2,13,80%,0,0.59,479,19,20.5,20,14,4368,0,0,0,1,0,0,6,5,5,24,53,78,112371,10689
