,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Labor rate,$25,/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Cost,,,Cost Wall Insulation Per SqFt,,,$0.60,,Cost Triple-paned Window Per SqFt,,,,$30.00,,,,Is Energy_Start,,0.15,max energy consumpation kwh/year,,,,,Re-Lamping labor,$0.1,hr/fixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric ($/ kWh),0.11,,Cost Ceiling Insulation Per SqFt,,,$1.40,,"Cost basement Insulation(3"") Per SqFt ",,,,$7.00,,,,Fraction_savings_Energy_Star_refrigerator,,,,,0.5,,,Cost/Bulb,$2.44,,,,,,,,,,,,,,,,,,,Envelope Saving,,,,,,,,,,,,,Simple Payback Envelope,,,,,,,,,,,,HVAC and Water heaters Equipment Savings,,,,,,,,,,,,,,Appliance and Lights Savings,,,,,,,,Other Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas ($/CCF),0.6,Area    (sf),,,,,Rvalue (f^2*F/But),,,,HVAC   System,,Water heater,Refrigerator,,,lights,,,"Equipment ,on or off",,,,,,,Utiity Analysis,,,,,,, Upgrade,,,,,,,,,,Envelope Heating  (therms) _ Saving,,,,,,Envelope Cooling (kWh)_ Saving,,,,,,Total Envelope ,Add Attic Insulation,,,Add Wall  Insulation,,,Add Triple-paned window,,,Add Basement Insulation,,,furnace gas_ Savings,,,,"AC,SEER   Savings",,,,Water heaters savings,,,,,Total  Equipment  Cost Savings ($),,,,,,,,Total House cost savings ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Number,Address,Floor ,Basement ,Attic,Window,Wall,Basement ,Attic,Windows,Walls,"eff, heating",SEER,"EF,WH",Energy_use_Refr kWh/yr,"EF,refrig","Size,refrig","No,lights,fluor",CFL bulb (W/lamp),Operating Hours_Lighting ,"WH,on","AC,On","Furn,pilot,on","Refrig,on","Duct open, basement (in^2)",Attic Penetration (in2),"No, Occupancy",Baseline Electric Intensity (kWh/sf),Total Elec Instensity (kWh/sf),Baseline_gas_int_kBTU/sf,Heating Gas Intensity (kBTU/sf),Total Gas Intensity (kBTU/sf),HeatingDegree Hour,CoolingDegree Hours,"Attic insul,R",Wall insul_R,Windows_R,Basement _R,"Furn,eff","EF,WH",Lighting LED (W/lamp),"EF,Refrig cubic feet•day/kWh","size,Refrig (cubic feet)","AC,SEER",Attic insul,Wall insul,Windows,Basement,Total Saving (therms/year),Cost Savings  Heating ($),Attic insul,Wall insul,Windows,Basement,Total Saving           kWh/year,Cost Savings Cooling ($), Cost Savings ($),Annual Financial Savings ($),Total Invest. Cost,Payback (years),Annual Financial Savings ($),Total Invest. Cost,Payback (years),Annual Financial Savings ($),Total Invest. Cost,Payback (years),Annual Financial Savings ($),Total Invest. Cost,Payback (years),fur_gas         Saving (therms),Cost Savings  furn ($),Total Invest. Cost,Payback (years),"AC,SEER   Saving kWh",Cost Savings  AC ($),Total Invest. Cost,Payback (years),Estimated Annual Cost  of Operation_WH  Current,Estimated Annual Cost of Operation_WH_Improved,Annual Cost WH_savings ,Total Invest. Cost,Payback (years),,Annual Electric Refrig-savings kWh,Annual Cost Savings  refrig  ($),Total Invest. Cost,Payback (years),Cost Savings Lighting  ($),Total Invest. Cost,Payback (years),,"WH,off",Payback (years),"Refrig,off",Payback (years),"AC,off","Attic,penetration",Duct open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,   407  Lowes   ,1460,No Basement,1460,219,1311,5,37,2,14,95%,14,0.8,345,24,18.9,36,14,4368,0,0,0,1,0,0,5,0,0,4,37,42,174279,135307,46,15,5,10,97.4%,0.96,9,24,18.9,26,14,13,120,0,148,$89,73,71,635,0,779,$86,$174,$16,"$2,044",125.05,$16,$787,49.77,$142,"$6,570",46.24,$0,0,0.00,3,$2.1,"$1,200.00",574,359,$40,"$2,300",58,$112,$94,$19,$949,51,$60,22,$2,$715,301,$86,$178,2.06,$323,$0,Immediate,$11,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,    411  Lowes    ,1460,No Basement,1460,219,1311,5,37,2,14,95%,14,0.8,345,24,18.9,36,14,4368,0,0,0,1,0,0,5,0,0,4,36,41,127775,135307,46,15,5,10,97.4%,0.96,9,24,18.9,26,10,10,88,0,108,$65,73,71,635,0,779,$86,$151,$14,"$2,044",144.67,$14,$787,57.58,$123,"$6,570",53.50,$0,0,0.00,3,$1.5,"$1,200.00",782,359,$40,"$2,300",58,$112,$94,$19,$949,51,$60,22,$2,$715,301,$86,$178,2.06,$299,$0,Immediate,$11,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,   415  Lowes    ,1460,No Basement,1460,219,1311,5,37,2,14,95%,14,0.8,345,24,18.9,36,14,4368,0,1,0,1,0,0,5,0,0,2,37,40,144887,135307,46,15,5,10,97.4%,0.96,9,24,18.9,26,12,11,100,0,123,$74,73,71,635,0,779,$86,$159,$15,"$2,044",136.77,$14,$787,54.44,$130,"$6,570",50.58,$0,0,0.00,3,$1.7,"$1,200.00",690,359,$40,"$2,300",58,$112,$94,$19,$949,51,$60,22,$2,$715,301,$86,$178,2.06,$308,$0,Immediate,$11,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,   417  Lowes    ,1460,No Basement,1460,219,1311,5,37,2,14,95%,14,0.8,345,24,18.9,36,14,4368,0,1,0,1,0,0,5,0,0,6,35,41,122329,135307,46,15,5,10,97.4%,0.96,9,24,18.9,26,10,9,85,0,104,$62,73,71,635,0,779,$86,$148,$14,"$2,044",147.38,$13,$787,58.66,$121,"$6,570",54.50,$0,0,0.00,2,$1.5,"$1,200.00",817,359,$40,"$2,300",58,$112,$94,$19,$949,51,$60,22,$2,$715,301,$86,$178,2.06,$296,$0,Immediate,$11,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,410  Lowes,1440,648,720,158,1462,5,6,2,14,95%,14,0.8,407,22,20.6,18,14,4368,0,1,0,1,27,0,5,6,6,9,53,62,123282,1001,46,15,5,10,97.4%,0.96,9,24,18.9,26,124,11,61,84,280,$168,7,1,3,5,15,$2,$170,$75,"$1,008",13.39,$6,$877,137.00,$37,"$4,740",127.28,$51,"$4,536.00",89.10,7,$4.0,"$1,200.00",302,7,$1,"$2,300",2930,$112,$94,$19,$949,51,$23,76,$8,$715,86,$43,$89,2.06,$245,$0,Immediate,$13,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,418  Lowes,1228,624,656,131,1429,5,6,2,5,95%,14,0.8,479,19,20.5,14,14,4368,0,1,0,0,27,0,5,6,7,56,21,77,204547,10731,46,15,5,10,97.4%,0.96,9,24,18.9,26,188,423,85,134,829,$498,67,151,30,48,295,$33,$530,$120,$918,7.65,$270,$857,3.17,$54,"$3,930",72.74,$86,"$4,368.00",50.92,20,$11.7,"$1,200.00",102,136,$15,"$2,300",153,$112,$94,$19,$949,51,$45,128,$14,$715,51,$34,$69,2.06,$623,$0,Immediate,$0,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,412  Lowes,1120,648,560,124,1496,5,6,2,5,90%,0,0.59,430,21,20.43,14,14,4368,1,0,0,1,0,0,6,9,9,41,138,179,112070,11055,46,15,5,10,97.4%,0.7,9,24,18.9,0,93,256,46,81,476,$286,0,0,0,0,0,$0,$286,$56,$784,14.08,$154,$898,5.84,$28,"$3,720",133.85,$48,"$4,536.00",93.69,36,$21.7,"$1,200.00",55,0,$0,$0,0,$152,$128,$24,$949,40,$46,89,$10,$715,73,$34,$69,2.06,$375,$44,Immediate,$14,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,423  Lowes,2119,960,1056,180,2220,5,13,2,14,78%,0,0.55,479,19,20.5,30,14,4368,0,0,1,1,27,144,6,5,5,11,77,89,166980,688,46,15,5,10,97.4%,0.7,9,24,18.9,0,130,26,116,206,477,$286,0,0,0,0,0,$0,$286,$78,"$1,478",19.02,$16,"$1,332",83.80,$69,"$5,400",77.85,$123,"$6,720.00",54.50,95,$57.0,"$1,200.00",21,0,$0,$0,0,$163,$128,$35,$949,27,$92,128,$14,$715,51,$72,$148,2.06,$465,$0,Immediate,$15,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,431  Lowes,952,648,644,92,1528,5,10,2,5,95%,16,0.56,461,16,16.5,14,14,4368,0,0,0,1,27,0,4,5,5,65,96,160,64536,2540,46,15,5,10,97.4%,0.7,9,24,18.9,26,36,143,19,44,241,$144,8,33,4,10,56,$6,$151,$22,$902,40.55,$89,$917,10.28,$12,"$2,760",235.50,$28,"$4,536.00",164.85,6,$3.4,"$1,200.00",352,22,$2,"$2,300",965,$161,$128,$32,$949,30,$38,111,$12,$715,59,$34,$69,2.06,$234,$0,Immediate,$15,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,433 Lowes,952,648,644,109,1511,5,7,2,5,95%,14,0.56,407,22,20.5,20,14,4368,1,0,0,1,0,0,4,13,13,87,59,145,54078,9188,46,15,5,10,97.4%,0.7,9,24,18.9,26,41,118,19,37,215,$129,47,136,21,43,248,$27,$156,$30,$902,30.24,$86,$907,10.56,$14,"$3,270",241.91,$27,"$4,536.00",169.34,5,$3.0,"$1,200.00",395,114,$13,"$2,300",183,$161,$128,$32,$949,30,$48,74,$8,$715,88,$48,$99,2.06,$260,$46,Immediate,$13,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,434 Lowes,1483,696,835,169,1571,5,17,2,4,95%,14,0.59,509,18,20.5,18,14,4368,1,1,0,1,0,0,6,6,6,36,78,114,117622,5685,46,15,5,10,97.4%,0.7,9,24,18.9,26,38,369,63,86,556,$334,13,121,21,28,183,$20,$354,$24,"$1,169",47.98,$235,$943,4.02,$40,"$5,070",127.10,$55,"$4,872.00",88.97,13,$7.9,"$1,200.00",152,84,$9,"$2,300",248,$152,$128,$24,$949,40,$41,150,$16,$715,43,$43,$89,2.06,$455,$44,Immediate,$16,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,438  Lowes,1320,636,681,117,1473,5,18,2,13,80%,11.3,0.56,461,16,16.5,20,14,4368,0,1,0,1,0,0,5,7,7,22,78,101,108192,6569,46,15,5,10,97.4%,0.7,9,24,18.9,26,32,24,47,86,189,$114,14,10,20,37,81,$9,$123,$21,$953,46.36,$16,$884,56.76,$31,"$3,510",114.23,$56,"$4,452.00",79.96,34,$20.3,"$1,200.00",59,46,$5,"$2,300",454,$161,$128,$32,$949,30,$57,111,$12,$715,59,$48,$99,2.06,$240,$0,Immediate,$15,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,440  Lowes ,1440,672,792,170,1510,5,18,2,13,80%,0,0.59,479,19,20.5,20,14,4368,0,0,0,1,0,0,6,5,5,24,53,78,112371,10689,46,15,5,10,97.4%,0.7,9,24,18.9,0,38,26,72,94,230,$138,0,0,0,0,0,$0,$138,$23,"$1,109",48.15,$15,$906,58.96,$43,"$5,100",118.65,$57,"$4,704.00",83.06,41,$24.7,"$1,200.00",49,0,$0,$0,0,$152,$128,$24,$949,40,$49,128,$14,$715,51,$48,$99,2.06,$249,$0,Immediate,$15,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 441 Lowes    ,980,648,672,112,1508,5,9,2,4,79%,0,0.59,683,12,18,14,14,4368,0,0,0,1,0,0,3,6,6,16,151,166,253334,11085,46,15,5,10,97.4%,0.7,9,24,18.9,0,182,918,108,208,1416,$849,0,0,0,0,0,$0,$849,$109,$941,8.62,$551,$905,1.64,$65,"$3,360",51.97,$125,"$4,536.00",36.38,267,$160.5,"$1,200.00",7,0,$0,$0,0,$152,$128,$24,$949,40,$184,282,$31,$715,23,$34,$69,2.06,"$1,098",$0,Immediate,$22,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, 442 Lowes    ,1400,660,700,95,1555,5,26,2,13,78%,0,0.55,479,19,20.5,20,14,4368,1,0,0,1,0,0,8,8,8,38,65,102,68054,11710,46,15,5,10,97.4%,0.7,9,24,18.9,0,10,16,25,58,109,$66,0,0,0,0,0,$0,$66,$6,$980,157.12,$10,$933,94.92,$15,"$2,850",191.02,$35,"$4,620.00",133.72,22,$13.1,"$1,200.00",92,0,$0,$0,0,$163,$128,$35,$949,27,$48,128,$14,$715,51,$48,$99,2.06,$176,$47,Immediate,$15,Immediate,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
