Age,AreaTotal,AreaBsmt,AssessedValueTotal,ConstructionTypeNumber,StyleNumber,TaxAmount,MeanEnergy
1923,1836,836,154860,1,1,11086.3,439.7897974
1937,1891,867,134920,2,1,9934.98,802.9507921
1992,1408,1408,76780,3,4,6422.58,1704.419818
1915,931,412,49450,3,4,3942.66,614.9413816
1926,1409,908,74490,3,1,6214.8,1068.577639
1926,1308,528,83860,3,3,6506.92,1413.296079
1956,1073,1073,67420,2,2,5573.26,654.7960737
1961,1026,576,56070,3,4,4543.36,844.6718026
1964,1189,338,65300,2,4,5380.9,580.6681053
1960,1062,576,66140,2,4,5457.12,545.9613026
1963,1124,600,61180,1,4,4553.34,428.0516947
1962,1201,338,66040,2,4,5448.04,713.3424184
1960,1062,576,60880,3,4,4979.82,827.4163447
1960,1026,576,53020,3,4,4266.6,265.0513868
1960,1026,576,55220,3,4,4466.24,448.7831974
1932,1347,983,42400,3,1,3714.8,906.3883395
1962,1201,388,67730,2,4,3764.82,385.0376395
1921,1758,879,50720,4,1,4057.9,635.8648079
1925,650,650,49850,3,5,3525.26,549.1303079
1927,1188,1170,63820,3,5,5791.04,499.8438947
1924,1232,658,57370,3,5,4661.32,214.3694
1974,1458,874,74070,3,2,5835.94,340.0454816
1959,1150,1150,64680,3,2,5429.72,207.1528684
1962,1295,1295,62270,3,4,5206.72,844.4445105
1975,1313,600,72330,3,4,6137.6,787.0235658
1941,1148,744,61560,3,1,4678.38,496.4972053
1930,1740,870,85880,2,3,7391.38,709.0585947
1964,1250,600,68960,3,4,5251.14,278.7957632
1910,1593,898,84020,3,3,7219.28,1300.187576
1909,1427,960,82730,3,1,7099.92,1003.331818
1909,1996,1156,73210,3,1,6219.02,1178.247853
1941,2268,1014,92090,3,3,7503.34,1801.095639
1925,1269,768,36040,3,1,2779.64,879.6612316
2007,2927,1609,128250,1,3,11311.92,633.3153184
1913,2256,744,86470,3,3,7445.98,419.9336368
1950,1588,363,81250,2,1,6592.88,1136.134087
1949,900,900,60310,3,2,3811.18,444.3567526
1944,1480,696,68950,3,1,5515.24,2006.340763
1924,960,960,57430,3,1,5211.2,348.8362395
1931,2438,1094,93050,3,3,7898.92,807.3145816
1927,1786,953,79730,3,3,6690.26,1201.619742
1974,1128,600,92680,3,4,7594.3,1060.413758
1935,1227,863,59860,3,5,4718.84,669.6938526
1950,1210,1210,70310,2,2,5381.8,384.8709737
1952,1726,1726,87630,2,2,5262.02,412.6203763
1950,1200,936,68950,2,2,5712.1,558.9972368
1926,1679,1119,78970,1,1,6621.3,607.1303605
1954,1205,1205,71120,2,2,5455.3,432.7079974
1940,1560,780,76660,3,3,6411.7,664.0978684
1928,2232,816,93890,3,3,7975.14,586.7341579
1986,1144,532,67130,3,4,5546.94,780.5077921
1951,1069,1069,67620,2,2,5591.4,683.3358
1946,1956,1396,116000,2,1,8068.6,902.4275105
1961,1282,1282,68320,3,2,5654.92,758.1567421
1952,1194,983,72230,3,2,6009.72,859.3670842
1912,1376,900,93320,3,3,7469.72,397.3935421
1952,1245,1245,71660,2,2,5958,678.5653684
1999,1838,1800,103870,2,2,8880.74,809.6830553
1959,1224,1224,65370,3,2,4933.54,302.5762105
1919,1550,656,98050,3,1,6708.34,326.6115316
1955,1074,1074,79390,2,2,5655.66,933.7287947
1950,1195,398,99380,3,4,6810.84,496.7394132
1973,1308,600,89920,1,4,6081.82,607.6614895
1956,3620,1377,174620,2,3,12994.38,630.7412184
1927,2210,1051,119810,2,3,8770.54,728.2693579
1962,1457,500,99320,3,4,7191.52,669.7770105
1936,1210,1050,89340,3,2,6037.12,465.5479921
1937,2523,1333,180670,3,3,13460.6,884.6821421
1952,2578,828,194420,1,3,14520.22,1624.490811
2010,2690,2052,177300,2,2,12815.58,1200.898579
2010,4036,1846,264530,2,3,19923.1,2299.060463
2005,3894,1751,237140,1,3,17812.36,2025.071963
1949,1693,624,121160,2,3,8489.26,973.7562237
