"Area.Floor","Basement.Area","Attic.Area","Window.Area","Wall.Area","Attic.Rvalue","Windows.Rvalue","Walls.Rvalue","Furnace.eff","AC.SEER","Water.Heater.eff","Refrig.Energy.Year","Refrig.EF","Refrig.Size","Lights.Num.Fluor","Water.Heater.On.Summer","AC.On.Summer","Furnace.Pilot.On.Summer","Refrig.On.Summer","Duct.Open.Area.Basement.in2","Attic.Penetration.in2","Occupancy.Number","Electric.Baseline.Intensity.kW.sf","ElectricTotal.Intensity.kW.sf","Gas.Baseline.kBTU.sf","Gas.Heating.kBTU.sf","Gas.Total.Intensity.kBTU.sf","Heating.Degree.Hours","Cooling.Degree.Hours"
1460,0,1460,219,1311,37,2,14,0.95,14,0.8,345,24,18.9,36,0,0,0,1,0,0,5,0,0,4,37,42,174279,135307
1460,0,1460,219,1311,37,2,14,0.95,14,0.8,345,24,18.9,36,0,0,0,1,0,0,5,0,0,4,36,41,127775,135307
1460,0,1460,219,1311,37,2,14,0.95,14,0.8,345,24,18.9,36,0,1,0,1,0,0,5,0,0,2,37,40,144887,135307
1460,0,1460,219,1311,37,2,14,0.95,14,0.8,345,24,18.9,36,0,1,0,1,0,0,5,0,0,6,35,41,122329,135307
1440,648,720,158,1462,6,2,14,0.95,14,0.8,407,22,20.6,18,0,1,0,1,27,0,5,6,6,9,53,62,123282,1001
1228,624,656,131,1429,6,2,5,0.95,14,0.8,479,19,20.5,14,0,1,0,0,27,0,5,6,7,56,21,77,204547,10731
1120,648,560,124,1496,6,2,5,0.9,0,0.59,430,21,20.43,14,1,0,0,1,0,0,6,9,9,41,138,179,112070,11055
2119,960,1056,180,2220,13,2,14,0.78,0,0.55,479,19,20.5,30,0,0,1,1,27,144,6,5,5,11,77,89,166980,688
952,648,644,92,1528,10,2,5,0.95,16,0.56,461,16,16.5,14,0,0,0,1,27,0,4,5,5,65,96,160,64536,2540
952,648,644,109,1511,7,2,5,0.95,14,0.56,407,22,20.5,20,1,0,0,1,0,0,4,13,13,87,59,145,54078,9188
1483,696,835,169,1571,17,2,4,0.95,14,0.59,509,18,20.5,18,1,1,0,1,0,0,6,6,6,36,78,114,117622,5685
1320,636,681,117,1473,18,2,13,0.8,11.3,0.56,461,16,16.5,20,0,1,0,1,0,0,5,7,7,22,78,101,108192,6569
1440,672,792,170,1510,18,2,13,0.8,0,0.59,479,19,20.5,20,0,0,0,1,0,0,6,5,5,24,53,78,112371,10689
980,648,672,112,1508,9,2,4,0.79,0,0.59,683,12,18,14,0,0,0,1,0,0,3,6,6,16,151,166,253334,11085
1400,660,700,95,1555,26,2,13,0.78,0,0.55,479,19,20.5,20,1,0,0,1,0,0,8,8,8,38,65,102,68054,11710
864,816,864,70,1018,6,2,4,0.8,0,0.59,461,16,16.5,16,1,0,0,1,0,0,3,10,10,109,110,220,103572,8938
960,888,960,119,1065,6,1,5,0.95,14,0.8,407,22,20.6,16,1,0,0,1,27,0,4,7,7,12,132,146,129899,4399
952,528,644,120,584,6,2,4,0.8,0,0.56,407,22,20.6,12,1,0,0,1,0,0,3,5,5,118,153,272,98329,9233
1124,636,632,137,1453,13,2,5,0.8,0,0.55,407,22,20.6,18,0,0,0,1,27,0,5,3,3,33,108,142,120518,25765
1288,696,712,108,1632,13,2,4,0.8,0,0.56,461,16,16.5,18,1,0,0,1,27,0,6,4,4,0,106,106,228644,8931
812,864,812,127,1025,13,2,4,0.78,0,0.59,683,12,18,10,1,1,0,0,0,0,2,6,7,135,79,212,58768,7599
1248,708,1248,105,839,10,2,4,0.78,13,0.59,383,21,18.2,14,1,1,0,1,0,0,2,1,1,56,66,123,94912,135307
924,708,924,116,828,13,2,4,0.78,13,0.55,844,9,17,14,0,0,0,1,0,0,2,8,8,2,90,91,230112,8170
1216,648,644,152,1468,18,2,5,0.78,0,0.56,600,12,16.8,16,1,0,0,1,0,0,4,7,7,60,87,148,96546,759
1252,684,680,114,1596,18,2,5,0.95,10,0.56,600,12,16.8,20,1,0,0,1,60,0,5,5,11,100,76,175,72867,4554
975,648,560,103,1517,15,2,5,0.78,0,0.56,600,12,16.8,12,1,0,1,1,63,72,4,5,5,18,75,93,122169,40300
1040,720,788,100,1700,15,2,5,0.92,0,0.81,461,16,16.5,18,0,0,0,1,32,216,4,4,9,24,74,98,250800,4095
1228,660,656,114,1536,22,2,5,0.8,0,0.59,406,22,20.5,18,0,0,0,1,27,0,5,7,7,47,89,137,104408,7659
1180,696,688,134,1606,18,2,14,0.78,0,0.56,479,19,20.5,18,1,0,0,1,27,288,6,5,5,28,62,91,107708,40301
1228,648,656,168,1452,18,2,4,0.95,13,0.56,461,16,16.5,16,1,1,0,1,27,144,5,8,8,8,80,89,102726,3053
952,528,644,104,600,18,2,14,0.95,10,0.81,479,19,20.5,18,0,0,0,1,27,144,5,7,7,47,70,115,60150,5614
952,528,644,120,1200,18,2,5,0.78,0,0.59,478,17,18.2,12,1,0,1,1,27,0,5,4,6,64,38,104,88385,52075
1192,624,620,133,1427,18,2,5,0.78,0,0.59,479,19,20.5,20,1,0,1,0,27,144,4,5,9,70,77,148,97249,503
1211,684,719,147,1563,6,2,5,0.95,13,0.81,406,22,20.6,20,0,0,0,1,96,0,5,4,4,6,89,97,177004,54617
1200,696,708,129,1611,18,2,4,0.8,0,0.59,406,22,20.6,22,1,0,0,1,27,0,6,7,7,25,73,99,105159,846
1124,660,632,144,1506,18,2,5,0.8,0,0.56,406,22,20.6,18,1,0,0,1,0,0,4,6,7,99,73,171,68750,4475
1144,576,572,121,1319,22,2,5,0.8,0,0.56,406,22,20.6,18,1,0,0,1,0,288,6,5,5,30,102,133,119825,993
1911,780,776,135,1815,18,2,5,0.8,0,0.59,406,22,20.6,20,0,0,0,1,27,0,6,4,4,25,78,104,106722,746
1211,708,644,160,1610,18,2,4,0.8,0,0.81,406,22,20.6,18,0,0,1,1,0,0,5,3,3,41,80,121,116871,6646
952,648,560,138,1482,18,2,5,0.95,13,0.56,479,19,20.5,16,1,0,0,0,27,0,4,5,5,61,89,150,103404,852
1389,660,719,214,1436,20,2,5,0.95,13,0.59,478,17,18.2,22,1,0,0,1,27,0,5,8,8,36,75,109,65294,1465
1144,576,572,134,1306,18,2,5,0.8,0,0.57,479,19,20.5,18,1,0,1,1,27,0,5,6,6,87,88,173,57165,4312
