YRMODAMI,Wind.Dir,Wind.Speed.m.per.s,Visibility,Temp.Outside.F,Temp.Dewpoint.F
2013091700,360,5,10,62,50
2013091700,360,7,10,59,51
2013091701,20,8,10,56,50
2013091702,50,9,10,55,50
2013091703,50,9,10,55,50
2013091703,50,8,10,54,50
2013091704,70,9,10,54,49
2013091704,NA,NA,NA,NA,NA
2013091705,70,6,10,52,48
2013091706,70,6,10,52,48
2013091706,60,6,10,49,46
2013091707,30,3,10,50,46
2013091708,40,6,10,48,45
2013091709,40,6,10,48,45
2013091709,60,6,10,47,45
2013091710,60,6,10,46,44
2013091711,60,5,8,48,46
2013091712,60,5,7.5,48,46
2013091712,90,6,10,54,50
2013091713,100,10,10,59,49
2013091714,110,6,10,63,50
2013091715,110,6,10,63,50
2013091715,140,7,10,67,50
2013091716,110,7,10,69,50
2013091717,100,8,10,71,49
2013091718,100,8,10,71,49
2013091718,130,9,10,73,49
2013091719,990,5,10,74,49
2013091720,80,10,10,74,47
2013091721,80,10,10,74,47
2013091721,110,9,10,74,47
2013091722,100,7,10,71,48
2013091723,90,6,10,67,50
2013091800,90,6,10,67,50
2013091800,90,7,10,65,51
2013091801,110,10,10,65,51
2013091802,110,8,10,63,52
2013091803,110,8,10,63,52
2013091803,110,8,10,61,52
2013091804,120,8,10,60,52
2013091804,NA,NA,NA,NA,NA
2013091805,100,8,10,60,53
2013091806,100,8,10,60,53
2013091806,100,7,10,60,52
2013091807,80,5,10,58,52
2013091808,110,5,10,60,52
2013091809,110,5,10,60,52
2013091809,110,3,10,59,53
2013091810,100,3,10,58,53
2013091811,110,6,10,59,54
2013091812,110,6,10,59,54
2013091812,130,6,9.1,61,55
2013091813,160,5,10,62,55
2013091814,220,3,10,67,57
2013091815,220,3,10,67,57
2013091815,NA,0,10,71,58
2013091816,210,3,10,75,57
2013091817,230,8,10,78,55
2013091818,230,8,10,78,55
2013091818,170,7,10,78,55
2013091819,NA,0,10,79,53
2013091820,190,6,10,81,53
2013091821,190,6,10,81,53
2013091821,NA,0,10,80,54
2013091822,190,6,10,78,54
2013091823,210,9,10,75,58
2013091900,210,9,10,75,58
2013091900,200,9,10,72,62
2013091901,210,9,9.1,71,63
2013091902,200,9,9.1,69,63
2013091903,200,9,8.8,69,63
2013091903,200,7,7,69,64
2013091904,180,7,4,67,65
2013091904,NA,NA,NA,NA,NA
2013091905,200,10,3,67,66
2013091906,200,10,3,67,66
2013091906,200,8,3,68,66
2013091907,210,8,3,68,66
2013091908,200,7,3,68,66
2013091909,200,7,3,68,66
2013091909,180,8,4,68,66
2013091910,190,3,2,67,66
2013091911,100,6,1.5,67,66
2013091912,100,6,1.5,67,66
2013091912,190,7,1.5,67,66
2013091913,180,7,2.5,68,66
2013091913,180,7,2.5,68,67
2013091914,210,9,9.1,69,66
2013091915,210,9,8.8,69,66
2013091915,210,8,10,70,66
2013091915,210,8,10,71,67
2013091916,230,3,10,72,66
2013091917,200,7,10,72,67
2013091918,200,7,10,72,67
2013091918,240,5,10,76,68
2013091919,240,10,10,78,66
2013091920,230,7,10,78,66
2013091921,230,7,10,78,66
2013091921,200,5,10,74,69
2013091922,NA,0,5,73,70
2013091923,180,5,9.1,72,70
2013092000,180,5,8.8,72,70
2013092000,180,7,10,72,66
2013092001,200,8,10,71,66
2013092002,180,6,10,71,67
2013092003,180,6,10,71,67
2013092003,150,6,8,69,67
2013092004,170,8,6,70,67
2013092004,NA,NA,NA,NA,NA
2013092005,180,9,5,70,67
2013092006,180,9,5,70,67
2013092006,190,10,5,70,68
2013092007,190,9,4,70,68
2013092008,200,9,4,69,68
2013092009,200,9,3.8,69,68
2013092009,200,8,4,69,67
2013092010,200,9,4,69,67
2013092011,200,10,3,69,67
2013092012,200,10,3,69,67
2013092012,190,10,4,71,68
2013092013,210,13,7,74,68
2013092014,230,13,10,78,68
2013092015,230,13,10,78,68
2013092015,230,13,10,82,68
2013092016,220,16,10,85,67
2013092017,230,18,10,86,66
2013092018,230,18,10,86,66
2013092018,220,15,10,85,66
2013092019,190,16,10,85,66
2013092020,200,14,10,83,66
2013092021,200,14,10,83,66
2013092021,250,18,1,70,68
2013092022,200,7,6,71,69
2013092023,190,8,6,71,69
2013092100,190,8,5.6,71,69
2013092100,160,6,5,70,69
2013092101,190,8,4,70,70
2013092101,190,8,4,70,69
2013092102,180,7,4,70,69
2013092103,180,7,3.8,70,69
2013092103,210,8,3,70,69
2013092104,270,9,3,67,66
2013092104,NA,NA,NA,NA,NA
2013092105,290,8,5,67,65
2013092106,290,8,5,67,65
2013092106,280,6,7,67,66
2013092107,280,5,4,67,65
2013092108,320,7,6,66,64
2013092109,320,7,5.6,66,64
2013092109,330,5,3,63,62
2013092110,320,8,4,63,61
2013092110,310,13,4,63,61
2013092111,320,13,7,62,60
2013092112,320,13,6.9,62,60
2013092112,330,10,10,61,57
2013092112,330,11,10,60,58
2013092113,320,10,8,60,58
2013092114,310,13,8,61,58
2013092115,310,13,7.5,61,58
2013092115,310,13,10,64,57
2013092115,330,10,10,65,58
2013092116,320,11,10,69,56
2013092117,310,16,10,72,53
2013092118,310,16,10,72,53
2013092118,320,11,10,74,50
2013092119,330,15,10,68,52
2013092120,300,11,10,72,49
2013092121,300,11,10,72,49
2013092121,330,11,10,70,46
2013092122,300,7,10,68,48
2013092123,310,6,10,63,48
2013092200,310,6,10,63,48
2013092200,320,7,10,60,48
2013092201,330,11,10,59,48
2013092202,330,9,10,56,48
2013092203,330,9,10,56,48
2013092203,330,7,10,54,47
2013092204,330,6,10,52,47
2013092204,NA,NA,NA,NA,NA
2013092205,330,6,10,51,46
2013092206,330,6,10,51,46
2013092206,330,7,10,50,46
2013092207,330,8,10,49,46
2013092208,340,6,10,49,46
2013092209,340,6,10,49,46
2013092209,350,5,10,48,46
2013092210,10,3,10,48,45
2013092211,10,5,10,49,46
2013092212,10,5,10,49,46
2013092212,20,8,10,53,48
2013092213,10,11,10,57,46
2013092214,10,15,10,59,42
